report_date2,Day Type,Descriptor,Holiday,P_DIS_Revenue,P_SEA_NetSpend,P_SHO_NetSpend,P_DIS_NetSpend,P_DIS_Impressions,P_DIS_Clicks,P_DIS_Sessions,P_DIS_Orders,P_SOC_NetSpend,P_AFF_NetSpend,holiday_flag
2017-01-01,Sale,Clearence,New Year Day,163.65,1097.11,0.0,1426.681269,622745,1494,207,2,701.8795848,0.0,0
2017-01-02,Sale,Clearence,NH,74.35,1294.04,0.0,1831.657648,1267612,2103,154,3,755.767474,0.0,0
2017-01-03,Sale,Clearence,NH,27.8,1100.77,0.0,1873.4491899999998,1663501,2232,151,1,1717.0588239999997,0.0,0
2017-01-04,Sale,Clearence,NH,59.42,1288.1,250.64,1985.475743,1612264,2230,204,2,1920.015225,0.0,0
2017-01-05,Sale,Clearence,NH,74.63,1334.74,277.07,2061.870699,1550589,1997,178,3,1899.233218,0.0,0
2017-01-06,Influencer,EOS Sale/ Jeffree Starr,NH,164.46,1995.04,184.17,1981.037861,1426115,1840,187,5,2522.848443,0.0,0
2017-01-07,Sale,Clearence,NH,28.89,2368.15,185.04,2071.247801,1300218,2208,211,1,2550.315571,0.0,0
2017-01-08,Sale,Clearence,NH,34.26,1963.76,189.56,2088.729452,1439262,2338,199,2,2611.99308,0.0,0
2017-01-09,Sale,Clearence,NH,13.59,1569.34,207.8,2065.308652,1678446,1909,187,1,2495.623529,0.0,0
2017-01-10,Sale,Clearence,NH,28.7,1748.79,404.15,1913.322034,1388583,1847,188,1,2303.8477510000002,0.0,0
2017-01-11,Sale,Clearence,NH,163.48,1782.36,510.03,1984.7608690000002,1616589,1976,318,6,1619.2235289999999,0.0,0
2017-01-12,Sale,Clearence,NH,186.34,1934.65,606.09,2098.18657,1484926,1958,1441,5,3865.16263,0.0,0
2017-01-13,Avg day,Avg Day,NH,289.4,2118.75,731.5,1787.8404309999999,1599323,2247,1954,9,3168.950865,0.0,0
2017-01-14,Avg day,Avg Day,NH,463.42,2233.6,731.06,1619.811192,1875792,3059,2589,14,2673.215225,0.0,0
2017-01-15,Avg day,Avg Day,NH,384.43,2203.77,731.42,1662.1334,1265402,2787,2680,13,2358.859516,0.0,0
2017-01-16,Avg day,Avg Day,MLK,912.12,2008.47,650.69,1907.021823,1755985,3400,3141,31,2298.66436,0.0,0
2017-01-17,Promo day- low,30% Off Bundles Promo,NH,746.47,1787.38,500.01,1699.106248,1653205,2661,2545,12,2293.0934260000004,0.0,0
2017-01-18,Promo day- low,30% Off Bundles Promo,NH,607.33,1527.59,546.34,2140.7679420000004,2419788,3446,3139,22,2279.878201,0.0,0
2017-01-19,Promo day- low,30% Off Bundles Promo,NH,352.73,1402.56,541.08,2117.333773,2684050,3703,3330,12,2216.844291,0.0,0
2017-01-20,Promo day- low,30% Off Bundles Promo,NH,553.91,1381.51,530.2,2159.807824,2412078,3229,2893,21,2296.2131489999997,0.0,0
2017-01-21,Promo day- low,30% Off Bundles Promo,NH,468.97,1595.8,529.86,2355.5600289999998,2423754,3684,2961,16,2331.266436,0.0,0
2017-01-22,Promo day- low,30% Off Bundles Promo,NH,620.62,1582.26,530.09,2766.226146,2919972,4397,3298,18,2377.665052,0.0,0
2017-01-23,Promo day- low,30% Off Bundles Promo,NH,517.14,1438.8,495.08,2372.218213,2210429,2881,2501,18,2557.485121,0.0,0
2017-01-24,FSNM,FSNM,NH,499.32,2448.9,726.34,3501.034241,2198071,2961,2130,26,3581.1806229999997,0.0,0
2017-01-25,FSNM,FSNM,NH,718.95,1897.07,848.92,3303.872431,2065215,2401,1895,44,4046.571626,0.0,0
2017-01-26,Avg day,Avg Day,NH,293.6,1484.61,859.89,1991.5664760000002,1395854,1831,1552,12,3125.584775,0.0,0
2017-01-27,Avg day,Avg Day,NH,636.22,1229.58,800.36,1742.7559989999997,1403334,1785,1676,15,2907.378547,0.0,0
2017-01-28,Avg day,Avg Day,NH,365.85,1466.95,798.13,1705.8435309999998,1258436,1813,1637,11,2697.3882350000003,0.0,0
2017-01-29,Avg day,Avg Day,NH,265.45,1530.49,800.8,1832.43881,1401564,2130,1779,9,2787.056055,0.0,0
2017-01-30,Avg day,Avg Day,NH,436.94,1533.59,715.68,1653.0199710000002,1319564,1735,1510,8,2742.178547,0.0,0
2017-01-31,Avg day,Avg Day,NH,315.08,2003.38,605.28,1496.0838820000001,1299710,1744,1522,8,2699.248443,0.0,0
2017-02-01,Avg day,Avg Day,NH,556.41,2027.62,1060.95,2184.767852,2642233,3617,2823,18,2764.937024,0.0,0
2017-02-02,Avg day,Avg Day,Groundhog Day,642.32,1606.43,529.81,2033.9594789999999,1966314,3173,2661,21,2141.0311420000003,0.0,0
2017-02-03,Avg day,Avg Day,NH,573.18,1581.96,530.37,2161.168184,2531523,5866,4946,16,2051.528028,0.0,0
2017-02-04,Avg day,Avg Day,NH,362.96,1603.12,529.23,2154.072819,2282900,4840,4086,12,1974.116263,0.0,0
2017-02-05,Avg day,Avg Day,Superbowl,381.6,1569.6,531.18,2117.280832,2261302,4441,3825,14,2061.352249,0.0,0
2017-02-06,Avg day,Avg Day,NH,669.04,1497.71,555.12,2290.901648,2431567,4211,3553,18,1985.519723,0.0,0
2017-02-07,Avg day,Avg Day,NH,354.43,1360.05,522.66,2322.784502,2462040,3588,3054,13,1985.665052,0.0,0
